,Filepath,Sequence,Frame,Set
0,/home/admin/data/esmart_wip/20210629_173500_11004.jpg,20210629173500,11004,train
1,/home/admin/data/esmart_wip/20210629_173500_11010.jpg,20210629173500,11010,train
4,/home/admin/data/esmart_wip/20210629_173500_12156.jpg,20210629173500,12156,train
5,/home/admin/data/esmart_wip/20210629_173500_12480.jpg,20210629173500,12480,train
6,/home/admin/data/esmart_wip/20210629_173500_13140.jpg,20210629173500,13140,train
8,/home/admin/data/esmart_wip/20210629_173500_13614.jpg,20210629173500,13614,train
9,/home/admin/data/esmart_wip/20210629_173500_14178.jpg,20210629173500,14178,train
10,/home/admin/data/esmart_wip/20210629_173500_15654.jpg,20210629173500,15654,train
12,/home/admin/data/esmart_wip/20210629_173500_2064.jpg,20210629173500,2064,train
13,/home/admin/data/esmart_wip/20210629_173500_2100.jpg,20210629173500,2100,train
14,/home/admin/data/esmart_wip/20210629_173500_2214.jpg,20210629173500,2214,train
15,/home/admin/data/esmart_wip/20210629_173500_2256.jpg,20210629173500,2256,train
16,/home/admin/data/esmart_wip/20210629_173500_2316.jpg,20210629173500,2316,train
17,/home/admin/data/esmart_wip/20210629_173500_2400.jpg,20210629173500,2400,train
18,/home/admin/data/esmart_wip/20210629_173500_2634.jpg,20210629173500,2634,train
19,/home/admin/data/esmart_wip/20210629_173500_2697.jpg,20210629173500,2697,train
22,/home/admin/data/esmart_wip/20210629_173500_2778.jpg,20210629173500,2778,train
23,/home/admin/data/esmart_wip/20210629_173500_2868.jpg,20210629173500,2868,train
24,/home/admin/data/esmart_wip/20210629_173500_2871.jpg,20210629173500,2871,train
25,/home/admin/data/esmart_wip/20210629_173500_4284.jpg,20210629173500,4284,train
26,/home/admin/data/esmart_wip/20210629_173500_4314.jpg,20210629173500,4314,train
27,/home/admin/data/esmart_wip/20210629_173500_4392.jpg,20210629173500,4392,train
29,/home/admin/data/esmart_wip/20210629_173500_4572.jpg,20210629173500,4572,train
30,/home/admin/data/esmart_wip/20210629_173500_4650.jpg,20210629173500,4650,train
35,/home/admin/data/esmart_wip/20210629_173500_4878.jpg,20210629173500,4878,train
37,/home/admin/data/esmart_wip/20210629_173500_4998.jpg,20210629173500,4998,train
38,/home/admin/data/esmart_wip/20210629_173500_5076.jpg,20210629173500,5076,train
43,/home/admin/data/esmart_wip/20210629_173500_5364.jpg,20210629173500,5364,train
44,/home/admin/data/esmart_wip/20210629_173500_5370.jpg,20210629173500,5370,train
45,/home/admin/data/esmart_wip/20210629_173500_5379.jpg,20210629173500,5379,train
46,/home/admin/data/esmart_wip/20210629_173500_5394.jpg,20210629173500,5394,train
47,/home/admin/data/esmart_wip/20210629_173500_5409.jpg,20210629173500,5409,train
49,/home/admin/data/esmart_wip/20210629_173500_5676.jpg,20210629173500,5676,train
50,/home/admin/data/esmart_wip/20210629_173500_5694.jpg,20210629173500,5694,train
51,/home/admin/data/esmart_wip/20210629_173500_5718.jpg,20210629173500,5718,train
52,/home/admin/data/esmart_wip/20210629_173500_5742.jpg,20210629173500,5742,train
53,/home/admin/data/esmart_wip/20210629_173500_5838.jpg,20210629173500,5838,train
54,/home/admin/data/esmart_wip/20210629_173500_6000.jpg,20210629173500,6000,train
55,/home/admin/data/esmart_wip/20210629_173500_6198.jpg,20210629173500,6198,train
57,/home/admin/data/esmart_wip/20210629_173500_6306.jpg,20210629173500,6306,train
58,/home/admin/data/esmart_wip/20210629_173500_6510.jpg,20210629173500,6510,train
60,/home/admin/data/esmart_wip/20210629_173500_6972.jpg,20210629173500,6972,train
61,/home/admin/data/esmart_wip/20210629_173500_7098.jpg,20210629173500,7098,train
63,/home/admin/data/esmart_wip/20210629_173500_7461.jpg,20210629173500,7461,train
64,/home/admin/data/esmart_wip/20210629_173500_7470.jpg,20210629173500,7470,train
65,/home/admin/data/esmart_wip/20210629_173500_7476.jpg,20210629173500,7476,train
66,/home/admin/data/esmart_wip/20210629_173500_7491.jpg,20210629173500,7491,train
68,/home/admin/data/esmart_wip/20210629_173500_7521.jpg,20210629173500,7521,train
69,/home/admin/data/esmart_wip/20210629_173500_7668.jpg,20210629173500,7668,train
70,/home/admin/data/esmart_wip/20210629_173500_7800.jpg,20210629173500,7800,train
71,/home/admin/data/esmart_wip/20210629_173500_7884.jpg,20210629173500,7884,train
73,/home/admin/data/esmart_wip/20210629_173500_7908.jpg,20210629173500,7908,train
74,/home/admin/data/esmart_wip/20210629_173500_7956.jpg,20210629173500,7956,train
76,/home/admin/data/esmart_wip/20210629_173500_8142.jpg,20210629173500,8142,train
77,/home/admin/data/esmart_wip/20210629_173500_8148.jpg,20210629173500,8148,train
78,/home/admin/data/esmart_wip/20210629_173500_8163.jpg,20210629173500,8163,train
80,/home/admin/data/esmart_wip/20210629_173500_8322.jpg,20210629173500,8322,train
82,/home/admin/data/esmart_wip/20210629_173500_8442.jpg,20210629173500,8442,train
83,/home/admin/data/esmart_wip/20210629_173500_8568.jpg,20210629173500,8568,train
84,/home/admin/data/esmart_wip/20210629_173500_8652.jpg,20210629173500,8652,train
85,/home/admin/data/esmart_wip/20210629_173500_8724.jpg,20210629173500,8724,train
86,/home/admin/data/esmart_wip/20210629_173500_8892.jpg,20210629173500,8892,train
87,/home/admin/data/esmart_wip/20210629_173500_9240.jpg,20210629173500,9240,train
88,/home/admin/data/esmart_wip/20210629_173500_9255.jpg,20210629173500,9255,train
90,/home/admin/data/esmart_wip/20210629_173500_9285.jpg,20210629173500,9285,train
91,/home/admin/data/esmart_wip/20210629_173500_9288.jpg,20210629173500,9288,train
92,/home/admin/data/esmart_wip/20210629_173500_9294.jpg,20210629173500,9294,train
93,/home/admin/data/esmart_wip/20210629_173500_9300.jpg,20210629173500,9300,train
94,/home/admin/data/esmart_wip/20210629_173500_9312.jpg,20210629173500,9312,train
95,/home/admin/data/esmart_wip/20210629_173500_9315.jpg,20210629173500,9315,train
96,/home/admin/data/esmart_wip/20210629_173500_9330.jpg,20210629173500,9330,train
97,/home/admin/data/esmart_wip/20210629_173500_9342.jpg,20210629173500,9342,train
98,/home/admin/data/esmart_wip/20210629_173500_9438.jpg,20210629173500,9438,train
99,/home/admin/data/esmart_wip/20210629_173500_9441.jpg,20210629173500,9441,train
